Animal ID,Intake Type,In Date,Pet name,Animal Type,Pet Age,Pet Size,Color,Breed,Sex,URL Link ,Crossing
A429298,OWNER SUR,10/31/2018,OSCAR,CAT,11 YEARS,MED,BLACK / WHITE,DOMESTIC SH,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A429298&location=MONT,
A442589,STRAY,03/08/2019,SHOCKA,DOG,2 YEARS,MED,WHITE / BROWN,AMER BULLDOG,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A442589&location=MONT,"700 COLBY AVE, TAKOMA PARK MD 20912"
A447171,OWNER SUR,02/02/2019,*LAYMAN,CAT,3 YEARS,MED,BRN TABBY,DOMESTIC SH,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A447171&location=MONT,
A448809,OWNER SUR,03/30/2019,REY,CAT,3 YEARS,MED,GRAY TAB,DOMESTIC SH,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A448809&location=MONT,
A448564,OWNER SUR,03/21/2019,KOBI,DOG,1 YEAR 1 MONTH,SMALL,TRICOLOR / RED TICK,BEAGLE / BASSET HOUND,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A448564&location=MONT,
A448775,STRAY,03/28/2019,*BROWNIE,CAT,6 YEARS,LARGE,BRN TABBY,DOMESTIC SH,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A448775&location=MONT,"6800 WISCONSIN AVE, CHEVY CHASE MD 20815"
A448814,OWNER SUR,03/30/2019,LEILANI,OTHER,1 YEAR 1 MONTH,MED,WHITE / BROWN,RABBIT SH,F,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A448814&location=MONT,
A446988,OWNER SUR,01/28/2019,*MEGA,CAT,4 YEARS,MED,BLACK / WHITE,DOMESTIC SH,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A446988&location=MONT,
A447008,CONFISCATE,01/28/2019,*FLERKEN,CAT,10 YEARS,MED,ORANGE,DOMESTIC LH / MAINE COON,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A447008&location=MONT,
A448776,OWNER SUR,03/28/2019,ANTMAN,DOG,1 YEAR 4 MONTHS,MED,BROWN,LABRADOR RETR,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A448776&location=MONT,
A444698,STRAY,11/02/2018,*PHILLIP,DOG,1 YEAR 5 MONTHS,MED,BRINDLE / WHITE,BOXER,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A444698&location=MONT,"100 ODEND HAL AVE, GAITHERSBURG MD 20877"
A446987,OWNER SUR,01/28/2019,*ROLY,CAT,4 YEARS,LARGE,GRAY TAB / WHITE,DOMESTIC SH,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A446987&location=MONT,
A448030,STRAY,03/04/2019,*REGINA,DOG,2 YEARS,MED,BLUE MERLE / BROWN,CATAHOULA,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A448030&location=MONT,"2000 GAITHER RD, ROCKVILLE MD 20850"
A447727,OWNER SUR,02/22/2019,BERRY,DOG,3 YEARS,MED,RED,LABRADOR RETR / MIX,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A447727&location=MONT,
A447937,TRANSFER,03/29/2019,*MADDIE,DOG,1 YEAR 1 MONTH,X-LRG,BLACK,MASTIFF,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A447937&location=MONT,
A404388,OWNER SUR,04/05/2019,CLYDE,CAT,13 YEARS,MED,BLACK / WHITE,DOMESTIC SH / MIX,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A404388&location=MONT,
A446732,STRAY,01/18/2019,*WINGNUT,DOG,1 YEAR 3 MONTHS,MED,BLUE,AMERICAN STAFF / MIX,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A446732&location=MONT,"12300 TREETOP DR, SILVER SPRING MD 20904"
A448922,STRAY,04/02/2019,*BARNEY,OTHER,1 YEAR,SMALL,GOLD,HAMSTER,M,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A448922&location=MONT,"7700 TUCKERMAN LN, POTOMAC MD 20854"
A441484,OWNER SUR,01/25/2019,DENJA,DOG,7 YEARS,MED,BLACK / WHITE,AMERICAN STAFF,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A441484&location=MONT,
A448997,STRAY,04/04/2019,*CHIA,OTHER,1 YEAR,SMALL,WHITE / BLACK,RABBIT SH,F,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A448997&location=MONT,"14100 ALDORA CIR, BURTONSVILLE MD 20866"
A448973,STRAY,04/04/2019,*LADYBUG,CAT,1 YEAR,MED,BRN TABBY,DOMESTIC SH,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A448973&location=MONT,"2300 GLENMONT CIR, SILVER SPRING MD 20902"
A449017,CONFISCATE,04/05/2019,*TOBY,OTHER,NO AGE,TOY,TAN / BLUE,TROPICAL,U,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A449017&location=MONT,
A449018,CONFISCATE,04/05/2019,*JACK,OTHER,NO AGE,TOY,TAN / BLACK,TROPICAL,U,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A449018&location=MONT,
A449016,CONFISCATE,04/05/2019,*TANNER,OTHER,NO AGE,TOY,TAN / BROWN,TROPICAL,U,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A449016&location=MONT,
A438913,OWNER SUR,03/15/2019,LILLY,DOG,1 YEAR 10 MONTHS,SMALL,BLACK / CREAM,SIBERIAN HUSKY / MIX,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A438913&location=MONT,
A449053,STRAY,04/06/2019,*SWEET PEA,DOG,9 YEARS,SMALL,CHOCOLATE / TAN,MIN PINSCHER,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A449053&location=MONT,"700 N STONESTREET AVE, ROCKVILLE MD 20850"
A448245,STRAY,03/11/2019,*BEVERLY,DOG,3 YEARS,MED,WHITE / BLACK,BOXER / DALMATIAN,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A448245&location=MONT,"25700 VALLEY PARK TER, DAMASCUS MD 20872"
A448816,OWNER SUR,03/30/2019,JACK,DOG,2 YEARS,SMALL,BROWN,CHIHUAHUA SH,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A448816&location=MONT,
A448449,STRAY,03/17/2019,*WEEGO,DOG,1 YEAR 1 MONTH,SMALL,RED,BOXER / REDBONE HOUND,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A448449&location=MONT,"DAMASCUS RD & LONG CORNER RD, DAMASCUS MD 20872"
A449094,STRAY,04/07/2019,*ROOSTER,BIRD,1 YEAR,MED,BLACK / BROWN,CHICKEN,M,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A449094&location=MONT,"600 KERWIN RD, SILVER SPRING MD 20901"
A448909,OWNER SUR,04/02/2019,*YIN,CAT,6 MONTHS,SMALL,BLACK,DOMESTIC SH,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A448909&location=MONT,
A321993,RETURN,04/08/2019,BARNEY,DOG,13 YEARS,MED,BUFF,COCKER SPAN / POODLE MIN,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A321993&location=MONT,
A449059,STRAY,04/06/2019,*PENELOPE,CAT,8 YEARS,MED,GRAY,DOMESTIC SH,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A449059&location=MONT,"13100 DAIRYMAID DR, GERMANTOWN MD 20874"
A449123,OWNER SUR,04/08/2019,MAXWELL,DOG,1 YEAR 5 MONTHS,PUPPY,RED,BOXER,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A449123&location=MONT,
