Code,Category,Description,Size,Total Inventory,Price,Sale Price,Sale End Date
79001,SCOTCH,Forager's Keep 26 Year Old Single Malt Scotch Whisky,750ML,0,325.99,,
38679,RUM,Castillo Silver Rum,1.75L,188,16.99,,
79642,PORT/SHERRY/DESSERT/VERMOUTH,Martini & Rossi Sweet Vermouth Rosso Red Blend,375ML,422,6.79,,
25950,TEQUILA,Cabo Wabo Anejo Tequila,750ML,80,41.99,,
333043,FRANCE,Chateau Beausejour Grand Vin de Bordeaux Fronsac Bordeaux Blend,750ML,14,18.69,,
79780,CORDIALS,Kahlua Cinnamon Spice Liqueur,750ML,13,22.99,,
312295,TEQUILA,Suerte Blanco Tequila,750ML,20,36.99,,
24968,BEER,Green Flash Le Freak - 4 Pack,12.0Z,0,16.99,,
52043,AMERICAN RED,J. Lohr Hilltop Cabernet Sauvignon,375ML,33,14.49,,
31123,BEER,Angry Orchard Easy Apple Hard Cider - 6 Pack,12.0Z,330,9.99,,
10847,AMERICAN RED,Markham Estate Grown Cabernet Sauvignon,750ML,19,33.99,,
25413,BEER,Ass Kisser Double IPA - 12 Pack,12.0Z,0,43.99,,
329138,OTHER WINE,Patricius Reserve Dry Furmint,750ML,0,20.99,,
82119,SPAIN/PORTUGAL,Freixenet Mia White Aromatic & Fruity Cava Blend,750ML,16,10.99,,
28223,SCOTCH,Johnnie Walker Black Label 12 Year Old Blended Scotch Whisky,1.75L,590,74.99,,
336738,CHILE,Emiliana Natura Merlot,750ML,10,9.79,,
348428,AMERICAN BLUSH/ROSE,CLOS DU BOIS ROSE,750ML,0,14.99,,
426199,AMERICAN WHITE,King Estate Acrobat Pinot Gris,750ML,223,14.49,,
40479,ITALY,Tommasi Poggio al Tufo Vigneto Rompicollo Maremma Toscana Sangiovese,750ML,29,16.49,,
56030,CORDIALS,Bols Melon Liqueur,1L,76,10.49,,
411345,ITALY,Conti Beretta Estate Bottled Friuli Grave Pinot Grigio,1.5L,0,12.99,,
313642,SPAIN/PORTUGAL,Bodegas Navalon Anciano Reserva   Aged 7 Years Tempranillo,750ML,243,10.99,,
81372,AMERICAN RED,Almaden Heritage Cabernet Sauvignon,5L,137,20.99,,
81448,AMERICAN WHITE,Smoking Loon The Original Sauvignon Blanc,750ML,163,11.49,,
83513,AMERICAN RED,Barefoot Cellars Sangria Red Blend,750ML,104,8.99,,
21903,AMERICAN RED,St. Supery Vineyards & Winery Estate Bottled Cabernet Sauvignon,750ML,120,37.99,,
10434,BEER,Lagunitas IPA - 6 Pack,12.0Z,1206,10.99,,
1546,BEER,Cusquena Dorada - 6 Pack,12.0Z,617,9.99,,
14753,FRANCE,Georges Vigouroux Gouleyant Cahors Malbec,750ML,187,12.99,,
28665,AMERICAN RED,Clos du Bois Hand Selected Lots Shiraz,750ML,17,14.49,,
