Item Number,Category Name,Item Description,Vendor,Vendor Name,Bottle Volume (ml),Pack,Inner Pack,Age,Proof,List Date,UPC,SCC,State Bottle Cost,State Case Cost,State Bottle Retail,Report Date
26737,Iowa Distilleries,Sir Winston Bourbon,578,S&B Farmstead Distillery,750,6,1,0,93,05/01/2019,856750008243,10059824001806,26.23,157.38,39.35,04/01/2019
26739,Iowa Distilleries,Sir Winston White Whiskey,578,S&B Farmstead Distillery,750,6,1,0,80,05/01/2019,856750008229,10059824001806,25.54,153.24,38.31,04/01/2019
26757,Iowa Distilleries,Blue Ox American Spirit Whiskey,229,DEHNER DISTILLERY,750,12,1,0,80,04/01/2019,854647008253,10059824001806,5.00,60.00,7.50,04/01/2019
26758,Iowa Distilleries,Blue Ox American Spirit Whiskey,229,DEHNER DISTILLERY,1750,6,1,0,80,04/01/2019,854647008246,10059824001806,9.50,57.00,14.25,04/01/2019
26777,Iowa Distilleries,Blue Ox American Spirit Whiskey Mini,229,DEHNER DISTILLERY,50,1,60,0,80,04/01/2019,854647008215,10059824001806,30.00,30.00,45.00,04/01/2019
37125,Iowa Distilleries,Bagger Vodka,125,CEDAR RIDGE VINEYARDS LL,1000,12,1,0,80,04/01/2019,859824001942,10863835000013,12.50,150.00,18.75,04/01/2019
37131,Iowa Distilleries,Century Farms Open Gate Vodka,594,"American Heritage Distillers, LLC",750,12,1,0,80,05/01/2019,865911000439,10863835000013,8.05,96.60,12.08,04/01/2019
58776,Iowa Distilleries,The Copper Can Moscow Mule,229,DEHNER DISTILLERY,355,6,4,0,20,05/01/2019,648676946279,10059824001172,8.00,48.00,12.00,04/01/2019
926732,Iowa Distilleries,Sir Winston Bourbon Barrel Proof,578,S&B Farmstead Distillery,750,6,1,0,116,05/01/2019,856750008090,10855677003000,28.60,171.60,42.90,04/01/2019
100083,Iowa Distilleries,SWELL Vodka - Mary Me Bloody Mary Pack,195,Swell Liquor LLC,750,6,1,0,80,10/01/2016,854781004548,,12.38,74.28,18.57,04/01/2019
100335,Iowa Distilleries,Cody Road Bourbon w/Rocks Glass,306,MISSISSIPPI RIVER DISTIL,750,6,1,0,90,08/01/2017,855037005357,,19.17,115.02,28.76,04/01/2019
12409,Iowa Distilleries,Canadian Ltd,055,SAZERAC NORTH AMERICA,100,48,1,0,80,06/01/2015,82928223501,,0.89,42.72,1.34,04/01/2019
17206,Iowa Distilleries,Cedar Ridge Bourbon,125,CEDAR RIDGE VINEYARDS LL,750,6,1,0,80,08/01/2010,82928223501,10059824001806,18.10,108.60,27.15,04/01/2019
