CALENDAR YEAR,MONTH,VENDOR NAME,CATEGORY,ITEM ,ITEM DESCRIPTION,QUANTITY,TRANSACTION SOURCE TYPE
2018,January,REPUBLIC NATIONAL DISTRIBUTING CO,WINE,339675,TORRES PAZO DAS BRUXAS ALBR - 750ML,4,Purchase order
2018,January,BACCHUS IMPORTERS LTD,WINE,309894,PRIMATERRA P/GRIG - 750ML,5,Purchase order
2018,January,KYSELA PERE ET FILS LTD,BEER,22602,CLADERA PALE ALE 4/6 CANS - 12OZ,2,Purchase order
2018,January,SOUTHERN GLAZERS WINE AND SPIRITS,WINE,153125,BULLY HILL SWEET WALTER RED - 750ML,28,Purchase order
2018,January,JIM BEAM BRANDS CO,LIQUOR,300611,SIPSMITH GIN 6/750ML,1,Purchase order
2018,January,A VINTNERS SELECTIONS,WINE,340351,COMANDO G LA BRUJA DE ROZAS GARNACHA - 750ML,2,Purchase order
2018,January,WILLIAM GRANT AND SONS INC,LIQUOR,70860,GRANTS ALE CASK RESERVE - 750ML,53,Purchase order
2018,January,REPUBLIC NATIONAL DISTRIBUTING CO,WINE,348106,BLACK BOX PINOT NOIR TETRA 500 ML,4,Purchase order
2018,January,A VINTNERS SELECTIONS,WINE,195685,DOMINIO DE EGUREN CODICE - 750ML,2,Purchase order
2018,January,A VINTNERS SELECTIONS,WINE,21989,CATENA CAB - 750ML,28,Purchase order
2018,January,CONSTANTINE WINES INC,WINE,345219,CAMBRIDGE AND SUNSET MER 14 - 750ML,1,Purchase order
2018,January,INTERNATIONAL CELLARS LLC,WINE,233562,LE VERSANT GREN ROSE - 750ML,1,Purchase order
2018,January,REPUBLIC NATIONAL DISTRIBUTING CO,LIQUOR,43181,JELINEK PEAR WILLIAM BRANDY - 750ML,2,Purchase order
2018,January,A VINTNERS SELECTIONS,WINE,135496,ISOLE E OLENA CHN CL 12/CS - 375ML,1,Purchase order
2018,January,CAMPARI AMERICA LLC,LIQUOR,19879,GRAND MARNIER CENTENAIRE - 750ML,2,Purchase order
2018,January,THREE STARS BREWING COMPANY LLC,KEG,50945,3 STARS TWO TO THE DOME 1/6 KEG,6,Purchase order
2018,January,REPUBLIC NATIONAL DISTRIBUTING CO,LIQUOR,72475,BLACKWATER FIN BRL SERIES WHISKEY- 750ML,1,Purchase order
2018,January,A VINTNERS SELECTIONS,WINE,42781,GRAHAMS SIX GRAPE - 750ML,7,Purchase order
2018,January,MONSIEUR TOUTON SELECTION,WINE,424781,CLOS AMADOR CAVA BRUT NATURE - 750ML,1,Purchase order
2018,January,OPICI FAMILY DISTRIBUTING OF MD,WINE,427129,MOSELLAND BLACK CAT RIES - 500ML,1,Purchase order
2018,January,ANHEUSER BUSCH INC,BEER,93815,ROLLING ROCK 2/12 LN - 12OZ,336,Purchase order
2018,January,WASHBURN WINE CO,BEER,2127,PIRAAT ALE NR - 6/25.4OZ,1,Purchase order
2018,January,SOUTHERN GLAZERS WINE AND SPIRITS,WINE,340052,THE PESSIMIST RED BLEND - 750ML,5,Purchase order
2018,January,DIAGEO NORTH AMERICA INC,BEER,97454,GUINNESS STOUT NR - 22OZ,525,Purchase order
2018,January,SOUTHERN GLAZERS WINE AND SPIRITS,WINE,376949,HAYES RANCH CAB - 750ML,2,Purchase order
2018,January,PUNTO VINO LLC,WINE,318438,BRUNETTI TOSCANA ROSSO - 750ML,4,Purchase order
2018,January,CONSTANTINE WINES INC,WINE,348879,BECKSTOFFER MELEE - 750ML,1,Purchase order
2018,January,BACARDI USA INC,WINE,79537,MARTINI & ROSSI SWEET VERMOUTH -750ML,60,Purchase order
2018,January,ARTISANS & VINES LLC,WINE,306764,BELLE JARDIN BDB BRUT - 750ML,28,Purchase order
2018,January,BACCHUS IMPORTERS LTD,WINE,161780,YALUMBA Y SERIES MER - 750ML,2,Purchase order
2018,January,DEUTSCH FAMILY WINE & SPIRITS,WINE,82355,SKYFALL COLUMBIA VLY RED BLEND - 750ML,14,Purchase order
2018,January,BACARDI USA INC,LIQUOR,17582,BOMBAY GIN - SAPPHIRE - 1.75L,384,Purchase order
2018,January,E & J GALLO WINERY,WINE,85685,LIVINGSTON CELLARS CHARD - 3LTR,24,Purchase order
2018,January,YOUNG WON TRADING INC,LIQUOR,346638,CHUM-CHURUM SOONHARI APPLE SOJU - 375ML,12,Purchase order
2018,January,MONSIEUR TOUTON SELECTION,WINE,333870,VILLA JOLANDA ST VALENTINE I LOVE YOU SPUM - 187ML,9,Purchase order
2018,January,A VINTNERS SELECTIONS,WINE,335596,PRODIGO S/BLC - 750ML,5,Purchase order
2018,January,LEGENDS LTD,BEER,25131,LAGUNITAS DAY TIME 4/6 NR - 12OZ,23,Purchase order
2018,January,LANTERNA DISTRIBUTORS INC,WINE,408492,99 VINES MER - 750ML,3,Purchase order
2018,January,OPICI FAMILY DISTRIBUTING OF MD,WINE,345845,JULIA JAMES CHARD - 750ML,1,Purchase order
2018,January,JIM BEAM BRANDS CO,LIQUOR,35653,GILBEY'S VODKA - 1.75L,300,Purchase order
2018,January,LUNEAU USA INC,WINE,136409,CH D'ARCINS HAUT MEDOC - 750ML,7,Purchase order
2018,January,REPUBLIC NATIONAL DISTRIBUTING CO,LIQUOR,54348,ABSOLUT VODKA - RASPBERRI - 1L,1,Purchase order
2018,January,THE VINERY LLC,WINE,300671,PEGOS CLAROS RESERVE -750ML,2,Purchase order
2018,January,ANHEUSER BUSCH INC,BEER,90190,MICHELOB ULTRA 18PK CAN - 12OZ,144,Purchase order
2018,January,CONSTELLATION BRANDS,WINE,82147,VENDANGE MER - 1.5L,80,Purchase order
2018,January,PABST BREWING CO,BEER,89397,WOODCHUCK PEAR CIDER 4/6NR - 355ML,70,Purchase order
2018,January,BULLSHINE DISTILLERY LLC,LIQUOR,74789,BULLSHINE PEACH WHISKEY - 750ML,3,Purchase order
2018,January,MONSIEUR TOUTON SELECTION,WINE,311913,TERRAVEGA CARM - 750ML,3,Purchase order
2018,January,COMETE WINES LLC,WINE,347684,TIERRA PROMETIDA BONARDA,1,Purchase order
2018,January,CRAFT WINE & SPIRITS OF MARYLAND LLC,LIQUOR,311519,MARIE DUFFAU NAPOLEON BAS ARMAGNAC - 750ML,1,Purchase order
2018,January,PRESTIGE BEVERAGE GROUP OF MD LLC,WINE,235086,HA SOD S/BLC - 750ML,1,Purchase order
2018,January,INTERBALT PRODUCTS CORP,WINE,340714,SOVETSKOYE SEMI-SWEET TAN - 750ML,1,Purchase order
2018,January,PUNTO VINO LLC,WINE,339423,COLSANTORURIS ROSSO - 750ML,3,Purchase order
2018,January,PUNTO VINO LLC,WINE,307542,CASA LARGA LILAC HILL RIES - 750ML,2,Purchase order
2018,January,LAPHAM SALES & MARKETING DBA LAPHAM,WINE,73008,CRUZ GARCIA REAL SANGRIA RED - 1.5L,40,Purchase order
2018,January,RELIABLE CHURCHILL LLLP,WINE,89211,LITTLE PENGUIN P/GRIG - 750ML,2,Purchase order
2018,January,A VINTNERS SELECTIONS,WINE,427774,CAMPOS DE VIENTO TEMP - 750ML,1,Purchase order
2018,January,INTERNATIONAL CELLARS LLC,WINE,303058,PACIFIC REDWOOD ORGANIC RED - 750ML,8,Purchase order
2018,January,E & J GALLO WINERY,WINE,84656,FREI BROTHERS CAB - 750ML,28,Purchase order
2018,January,REPUBLIC NATIONAL DISTRIBUTING CO,WINE,234672,BEATBOX BEV RED FRUIT PUNCH - 500ML,14,Purchase order
2018,January,SAZERAC CO,LIQUOR,30104,BOWMAN'S GIN - 1L,40,Purchase order
2018,January,A VINTNERS SELECTIONS,WINE,145700,LURTON ARAUCANO RES CARM - 750ML,1,Purchase order
2018,January,REPUBLIC NATIONAL DISTRIBUTING CO,WINE,44211,SELLA & MOSCA CANNONAU 05 - 750ML,5,Purchase order
2018,January,ROYAL WINE CORP,WINE,349119,LA VIE ROUGE DU CASTEL - 750ML,1,Purchase order
2018,January,ANHEUSER BUSCH INC,KEG,23786,HOEGAARDEN 1/2K,4,Purchase order
2018,January,RELIABLE CHURCHILL LLLP,WINE,84680,FERRARI CARRANO A/V CAB - 750ML,2,Purchase order
2018,January,LABATT USA OPERATING CO LLC,BEER,93190,JW DUNDEE HONEY LAGER 4/6 LNNR - 12OZ,216,Purchase order
2018,January,TESTA WINES OF THE WORLD LTD,WINE,300622,MONTEMAR CABERNET SAUVIGNON CLASSIC - 750ML,4,Purchase order
2018,January,YOUNG WON TRADING INC,BEER,25207,TAIWAN BEER 4/6 NR - 330ML,13,Purchase order
2018,January,LANTERNA DISTRIBUTORS INC,WINE,338418,DOM CHAMFORT VACQUEYRAS - 750ML,2,Purchase order
2018,January,JIM BEAM BRANDS CO,LIQUOR,19569,CRUZAN BANANA - 750ML,2,Purchase order
2018,January,PRESTIGE BEVERAGE GROUP OF MD LLC,WINE,346095,DELOACH ROSE - 750ML,1,Purchase order
2018,January,REMY COINTREAU USA,LIQUOR,46019,REMY MARTIN VSOP - 1.75L,1,Purchase order
2018,January,SURVILLE ENTERPRISES CORP,WINE,81406,B&G RESERVE CHARD - 1.5L,15,Purchase order
2018,January,DOPS INC,BEER,25360,SHIPYARD MONKEY FIST IPA 4/6NR - 12OZ,7,Purchase order
2018,January,LEGENDS LTD,BEER,28061,OMMEGANG GNOMEGANG 6/4 NR,1,Purchase order
2018,January,PRESTIGE BEVERAGE GROUP OF MD LLC,LIQUOR,71505,CAFFO LIMONCINO - 750ML,3,Purchase order
2018,January,A VINTNERS SELECTIONS,WINE,329414,MONTAND ICE - 750ML,1,Purchase order
2018,January,CONSTELLATION BRANDS,WINE,33286,RAVENSWOOD SONOMA ZINFANDEL - 750ML,28,Purchase order
2018,January,CONSTANTINE WINES INC,WINE,309474,OTWC P/NOIR - 750ML,14,Purchase order
2018,January,ROYAL WINE CORP,WINE,69957,RASHI NY STATE CONCORD GRAPE - 750ML,1,Purchase order
2018,January,HEINEKEN USA,NON-ALCOHOL,96415,BUCKLER NA 4/6 NR - 12OZ,160,Purchase order
2018,January,BACARDI USA INC,LIQUOR,38490,BACARDI RUM - LIMON - 1.75L,60,Purchase order
2018,January,BACCHUS IMPORTERS LTD,WINE,329727,DOURTHE LA GRANDE CUV S/BLC - 750ML,3,Purchase order
2018,January,THE WINE GROUP,WINE,83635,FISH EYE P/NOIR - 750ML,14,Purchase order
2018,January,A VINTNERS SELECTIONS,WINE,391360,BODEGAS ALTO MONCAYO VERATON - 750ML,3,Purchase order
2018,January,ROYAL WINE CORP,WINE,159603,BINYAMINA RES CAB - 750ML,1,Purchase order
2018,January,A VINTNERS SELECTIONS,WINE,89700,CLEAN SLATE RIES - 750ML,28,Purchase order
2018,January,REPUBLIC NATIONAL DISTRIBUTING CO,WINE,100927,CRISTALINO EX/DRY - 750ML,1,Purchase order
2018,January,DOPS INC,BEER,91332,CHIMAY CING CENTS WH CAP 4/6NR - 11.2OZ,5,Purchase order
2018,January,STE MICHELLE WINE ESTATES,WINE,84574,CH ST MICH INDIAN WELLS RED BLEND - 750ML,14,Purchase order
2018,January,LANTERNA DISTRIBUTORS INC,WINE,345529,EVANS & TATE SMOOTH OPERATOR RED - 750ML,2,Purchase order
2018,January,REPUBLIC NATIONAL DISTRIBUTING CO,WINE,342041,GIOCATO P/GRIG - 750ML,3,Purchase order
2018,January,MONSIEUR TOUTON SELECTION,WINE,234168,THE BUTCHER'S DAUGHTER P/NOIR KOS - 750ML,1,Purchase order
2018,January,A VINTNERS SELECTIONS,WINE,325687,PUNTO FINAL CLS CAB - 750ML,1,Purchase order
2018,January,REMY COINTREAU USA,LIQUOR,71188,METAXA OUZO - 750ML,28,Purchase order
2018,January,ROYAL WINE CORP,WINE,121860,HAGAFEN EB MER - 750ML,1,Purchase order
2018,January,E & J GALLO WINERY,WINE,15989,CARLO ROSSI SANGRIA - 4L,48,Purchase order
2018,January,A VINTNERS SELECTIONS,WINE,340382,BALDUCCIS OLD VNS GARNACHA - 750ML,10,Purchase order
2018,January,LEGENDS LTD,BEER,26512,BALTIMORE BEERWKS TELL TALE HEART 4/6NR - 12OZ,32,Purchase order
2018,January,LEGENDS LTD,BEER,23561,BUTTERNUT SNAPERHEAD IPA 4/6 CANS - 12OZ,1,Purchase order
2018,January,ANHEUSER BUSCH INC,BEER,90333,MICHELOB ULTRA LIME CACTUS 4/6NR - 12OZ,112,Purchase order
2018,January,A VINTNERS SELECTIONS,WINE,311250,JOCELYNE MASSICOT POU/FUME - 750ML,1,Purchase order
2018,January,A VINTNERS SELECTIONS,WINE,302321,SANT ANTONIO VAL RIPASSO GORBI - 750ML,1,Purchase order
2018,January,ELITE WINES IMPORTS,WINE,335003,BESO DE RECHENNA CAVA - 750ML,4,Purchase order
2018,January,ELITE WINES IMPORTS,WINE,234154,CA'VOLPARES P/GRIG - 750ML,5,Purchase order
2018,January,E M D SALES INC,BEER,41307,CADEJO BREW CO MERA BELGA WHITE ALE 4/6 NR - 11.2OZ,1,Purchase order
2018,January,LEGENDS LTD,KEG,99090,BITBURGER 1/2K,1,Purchase order
2018,January,JIM BEAM BRANDS CO,LIQUOR,300644,SUNTORY WHISKY TOKI 6/750,112,Purchase order
2018,January,LEGENDS LTD,BEER,347311,TWO ROADS ROAD 2 RUIN - 12OZ,8,Purchase order
2018,January,A VINTNERS SELECTIONS,WINE,43708,ARGYLE RES P/NOIR - 750ML,5,Purchase order
2018,January,DMV DISTRIBUTING LLC,WINE,313089,DFJ VINHOS PAXIS RED - 750ML,14,Purchase order
2018,January,REPUBLIC NATIONAL DISTRIBUTING CO,WINE,429384,SALENTEIN RES MAL - 750ML,2,Purchase order
