,name,id,nametype,recclass,mass,fall,year,reclat,reclong,GeoLocation
0,Aachen,0,Valid,L5,21.0,Fell,1880.0,50.775,6.08333,"(50.775000, 6.083330)"
1,Aarhus,1,Valid,H6,720.0,Fell,1951.0,56.183330000000005,10.23333,"(56.183330, 10.233330)"
2,Abee,2,Valid,EH4,107000.0,Fell,1952.0,54.21666999999999,-113.0,"(54.216670, -113.000000)"
3,Acapulco,3,Valid,Acapulcoite,1914.0,Fell,1976.0,16.883329999999997,-99.9,"(16.883330, -99.900000)"
4,Achiras,4,Valid,L6,780.0,Fell,1902.0,-33.16667,-64.95,"(-33.166670, -64.950000)"
5,Adhi Kot,5,Valid,EH4,4239.0,Fell,1919.0,32.1,71.8,"(32.100000, 71.800000)"
6,Adzhi-Bogdo (stone),6,Valid,LL3-6,910.0,Fell,1949.0,44.83333,95.16667,"(44.833330, 95.166670)"
7,Agen,7,Valid,H5,30000.0,Fell,1814.0,44.21667,0.6166699999999999,"(44.216670, 0.616670)"
8,Aguada,8,Valid,L6,1620.0,Fell,1930.0,-31.6,-65.23333000000001,"(-31.600000, -65.233330)"
9,Aguila Blanca,9,Valid,L,1440.0,Fell,1920.0,-30.866670000000003,-64.55,"(-30.866670, -64.550000)"
10,Aioun el Atrouss,10,Valid,Diogenite-pm,1000.0,Fell,1974.0,16.39806,-9.57028,"(16.398060, -9.570280)"
11,Aïr,11,Valid,L6,24000.0,Fell,1925.0,19.08333,8.38333,"(19.083330, 8.383330)"
13,Akaba,12,Valid,L6,779.0,Fell,1949.0,29.51667,35.05,"(29.516670, 35.050000)"
14,Akbarpur,13,Valid,H4,1800.0,Fell,1838.0,29.71667,77.95,"(29.716670, 77.950000)"
15,Akwanga,14,Valid,H,3000.0,Fell,1959.0,8.91667,8.43333,"(8.916670, 8.433330)"
16,Akyumak,15,Valid,"Iron, IVA",50000.0,Fell,1981.0,39.91667,42.81667,"(39.916670, 42.816670)"
17,Al Rais,16,Valid,CR2-an,160.0,Fell,1957.0,24.41667,39.51667,"(24.416670, 39.516670)"
18,Al Zarnkh,17,Valid,LL5,700.0,Fell,2001.0,13.660329999999998,28.96,"(13.660330, 28.960000)"
19,Alais,18,Valid,CI1,6000.0,Fell,1806.0,44.11667,4.08333,"(44.116670, 4.083330)"
20,Albareto,19,Valid,L/LL4,2000.0,Fell,1766.0,44.65,11.01667,"(44.650000, 11.016670)"
21,Alberta,20,Valid,L,625.0,Fell,1949.0,2.0,22.66667,"(2.000000, 22.666670)"
22,Alby sur Chéran,21,Valid,Eucrite-mmict,252.0,Fell,2002.0,45.821329999999996,6.0153300000000005,"(45.821330, 6.015330)"
23,Aldsworth,22,Valid,LL5,700.0,Fell,1835.0,51.78333,-1.7833299999999999,"(51.783330, -1.783330)"
24,Aleppo,23,Valid,L6,3200.0,Fell,1873.0,36.23333,37.13333,"(36.233330, 37.133330)"
25,Alessandria,24,Valid,H5,908.0,Fell,1860.0,44.88333,8.75,"(44.883330, 8.750000)"
26,Alexandrovsky,25,Valid,H4,9251.0,Fell,1900.0,50.95,31.816670000000002,"(50.950000, 31.816670)"
27,Alfianello,26,Valid,L6,228000.0,Fell,1883.0,45.26667,10.15,"(45.266670, 10.150000)"
28,Allegan,27,Valid,H5,32000.0,Fell,1899.0,42.53333,-85.88333,"(42.533330, -85.883330)"
29,Allende,28,Valid,CV3,2000000.0,Fell,1969.0,26.96667,-105.31667,"(26.966670, -105.316670)"
30,Almahata Sitta,29,Valid,Ureilite-an,3950.0,Fell,2008.0,20.74575,32.41275,"(20.745750, 32.412750)"
31,Alta'ameem,30,Valid,LL5,6000.0,Fell,1977.0,35.27333,44.215559999999996,"(35.273330, 44.215560)"
32,Ambapur Nagla,31,Valid,H5,6400.0,Fell,1895.0,27.66667,78.25,"(27.666670, 78.250000)"
33,Andhara,32,Valid,Stone-uncl,2700.0,Fell,1880.0,26.58333,85.56667,"(26.583330, 85.566670)"
34,Andover,33,Valid,L6,3200.0,Fell,1898.0,44.61667,-70.75,"(44.616670, -70.750000)"
35,Andreevka,34,Valid,L3,600.0,Fell,1969.0,48.7,37.5,"(48.700000, 37.500000)"
36,Andura,35,Valid,H6,17900.0,Fell,1939.0,20.883329999999997,76.86667,"(20.883330, 76.866670)"
39,Angra dos Reis (stone),36,Valid,Angrite,1500.0,Fell,1869.0,-22.96667,-44.31667,"(-22.966670, -44.316670)"
40,Ankober,37,Valid,H4,6500.0,Fell,1942.0,9.53333,39.71667,"(9.533330, 39.716670)"
41,Anlong,38,Valid,H5,2500.0,Fell,1971.0,25.15,105.18333,"(25.150000, 105.183330)"
42,Aomori,39,Valid,L6,320.0,Fell,1984.0,40.810559999999995,140.78556,"(40.810560, 140.785560)"
43,Appley Bridge,40,Valid,LL6,15000.0,Fell,1914.0,53.583330000000004,-2.71667,"(53.583330, -2.716670)"
44,Apt,41,Valid,L6,3200.0,Fell,1803.0,43.86667,5.38333,"(43.866670, 5.383330)"
45,Arbol Solo,42,Valid,H5,810.0,Fell,1954.0,-33.0,-66.0,"(-33.000000, -66.000000)"
